Date,Time,Employee
01/09/2017,07:18,0000394499
01/09/2017,11:01,0000394499
01/09/2017,12:31,0000394499
01/09/2017,15:31,0000394499
01/09/2017,15:47,0000394499
01/09/2017,17:19,0000394499
04/09/2017,07:25,0000394499
04/09/2017,11:02,0000394499
04/09/2017,12:31,0000394499
04/09/2017,15:31,0000394499
04/09/2017,15:47,0000394499
04/09/2017,17:32,0000394499
05/09/2017,07:11,0000394499
05/09/2017,11:02,0000394499
05/09/2017,12:34,0000394499
05/09/2017,15:31,0000394499
05/09/2017,15:47,0000394499
05/09/2017,22:32,0000394499
06/09/2017,07:19,0000394499
06/09/2017,11:01,0000394499
06/09/2017,12:36,0000394499
06/09/2017,15:37,0000394499
06/09/2017,15:51,0000394499
06/09/2017,17:22,0000394499
08/09/2017,07:28,0000394499
08/09/2017,11:00,0000394499
08/09/2017,12:34,0000394499
08/09/2017,15:42,0000394499
08/09/2017,17:20,0000394499
11/09/2017,12:34,0000394499
11/09/2017,15:31,0000394499
11/09/2017,15:47,0000394499
11/09/2017,17:20,0000394499
12/09/2017,07:22,0000394499
12/09/2017,11:01,0000394499
12/09/2017,12:35,0000394499
12/09/2017,15:30,0000394499
12/09/2017,15:48,0000394499
12/09/2017,20:59,0000394499
13/09/2017,07:26,0000394499
13/09/2017,11:01,0000394499
13/09/2017,12:34,0000394499
13/09/2017,15:30,0000394499
13/09/2017,15:47,0000394499
13/09/2017,21:39,0000394499
14/09/2017,07:29,0000394499
14/09/2017,11:01,0000394499
14/09/2017,12:36,0000394499
14/09/2017,15:30,0000394499
14/09/2017,15:47,0000394499
14/09/2017,23:09,0000394499
15/09/2017,07:17,0000394499
15/09/2017,11:01,0000394499
15/09/2017,12:36,0000394499
15/09/2017,15:31,0000394499
15/09/2017,15:45,0000394499
15/09/2017,17:18,0000394499
19/09/2017,07:10,0000394499
19/09/2017,11:01,0000394499
19/09/2017,12:34,0000394499
19/09/2017,15:30,0000394499
19/09/2017,15:47,0000394499
19/09/2017,22:10,0000394499
20/09/2017,07:26,0000394499
20/09/2017,11:01,0000394499
20/09/2017,12:35,0000394499
20/09/2017,15:31,0000394499
20/09/2017,15:47,0000394499
20/09/2017,21:58,0000394499
21/09/2017,07:17,0000394499
21/09/2017,11:01,0000394499
21/09/2017,12:35,0000394499
21/09/2017,15:31,0000394499
21/09/2017,15:47,0000394499
21/09/2017,22:06,0000394499
22/09/2017,07:27,0000394499
22/09/2017,11:01,0000394499
22/09/2017,12:37,0000394499
22/09/2017,15:31,0000394499
22/09/2017,15:47,0000394499
22/09/2017,17:22,0000394499
25/09/2017,07:46,0000394499
25/09/2017,11:01,0000394499
25/09/2017,12:33,0000394499
25/09/2017,15:31,0000394499
25/09/2017,15:48,0000394499
25/09/2017,20:59,0000394499
26/09/2017,07:30,0000394499
26/09/2017,11:01,0000394499
26/09/2017,12:36,0000394499
26/09/2017,15:31,0000394499
26/09/2017,15:47,0000394499
26/09/2017,21:10,0000394499
01/09/2017,07:03,0000779314
01/09/2017,11:03,0000779314
01/09/2017,12:31,0000779314
01/09/2017,15:54,0000779314
01/09/2017,16:10,0000779314
01/09/2017,17:18,0000779314
04/09/2017,07:04,0000779314
04/09/2017,11:04,0000779314
04/09/2017,12:31,0000779314
04/09/2017,16:04,0000779314
04/09/2017,16:17,0000779314
04/09/2017,17:21,0000779314
05/09/2017,06:56,0000779314
05/09/2017,11:05,0000779314
05/09/2017,12:36,0000779314
05/09/2017,15:58,0000779314
05/09/2017,16:15,0000779314
05/09/2017,17:19,0000779314
06/09/2017,07:02,0000779314
06/09/2017,11:01,0000779314
06/09/2017,12:38,0000779314
06/09/2017,16:03,0000779314
06/09/2017,16:18,0000779314
06/09/2017,17:23,0000779314
08/09/2017,07:01,0000779314
08/09/2017,11:01,0000779314
08/09/2017,12:34,0000779314
08/09/2017,17:22,0000779314
11/09/2017,07:01,0000779314
11/09/2017,11:01,0000779314
11/09/2017,12:35,0000779314
11/09/2017,15:49,0000779314
11/09/2017,16:04,0000779314
11/09/2017,17:22,0000779314
12/09/2017,06:59,0000779314
12/09/2017,11:51,0000779314
12/09/2017,13:28,0000779314
12/09/2017,15:51,0000779314
12/09/2017,16:07,0000779314
12/09/2017,17:24,0000779314
13/09/2017,07:01,0000779314
13/09/2017,11:03,0000779314
13/09/2017,12:38,0000779314
13/09/2017,16:08,0000779314
13/09/2017,16:18,0000779314
13/09/2017,17:23,0000779314
14/09/2017,06:59,0000779314
14/09/2017,11:02,0000779314
14/09/2017,12:38,0000779314
14/09/2017,15:51,0000779314
14/09/2017,16:08,0000779314
14/09/2017,17:36,0000779314
15/09/2017,07:06,0000779314
15/09/2017,12:35,0000779314
15/09/2017,14:01,0000779314
15/09/2017,15:50,0000779314
15/09/2017,16:08,0000779314
15/09/2017,17:20,0000779314
18/09/2017,07:04,0000779314
18/09/2017,11:05,0000779314
18/09/2017,12:38,0000779314
18/09/2017,15:48,0000779314
18/09/2017,16:09,0000779314
18/09/2017,17:22,0000779314
19/09/2017,07:01,0000779314
19/09/2017,11:01,0000779314
19/09/2017,12:34,0000779314
19/09/2017,16:03,0000779314
19/09/2017,16:21,0000779314
