Date,Time,Employee
01/09/2017,07:18,394499
01/09/2017,11:01,394499
01/09/2017,12:31,394499
01/09/2017,15:31,394499
01/09/2017,15:47,394499
01/09/2017,17:19,394499
04/09/2017,07:25,394499
04/09/2017,11:02,394499
04/09/2017,12:31,394499
04/09/2017,15:31,394499
04/09/2017,15:47,394499
04/09/2017,17:32,394499
05/09/2017,07:11,394499
05/09/2017,11:02,394499
05/09/2017,12:34,394499
05/09/2017,15:31,394499
05/09/2017,15:47,394499
05/09/2017,22:32,394499
06/09/2017,07:19,394499
06/09/2017,11:01,394499
06/09/2017,12:36,394499
06/09/2017,15:37,394499
06/09/2017,15:51,394499
06/09/2017,17:22,394499
08/09/2017,07:28,394499
08/09/2017,11:00,394499
08/09/2017,12:34,394499
08/09/2017,15:42,394499
08/09/2017,17:20,394499
11/09/2017,12:34,394499
11/09/2017,15:31,394499
11/09/2017,15:47,394499
11/09/2017,17:20,394499
12/09/2017,07:22,394499
12/09/2017,11:01,394499
12/09/2017,12:35,394499
12/09/2017,15:30,394499
12/09/2017,15:48,394499
12/09/2017,20:59,394499
13/09/2017,07:26,394499
13/09/2017,11:01,394499
13/09/2017,12:34,394499
13/09/2017,15:30,394499
13/09/2017,15:47,394499
13/09/2017,21:39,394499
14/09/2017,07:29,394499
14/09/2017,11:01,394499
14/09/2017,12:36,394499
14/09/2017,15:30,394499
14/09/2017,15:47,394499
14/09/2017,23:09,394499
15/09/2017,07:17,394499
15/09/2017,11:01,394499
15/09/2017,12:36,394499
15/09/2017,15:31,394499
15/09/2017,15:45,394499
15/09/2017,17:18,394499
19/09/2017,07:10,394499
19/09/2017,11:01,394499
19/09/2017,12:34,394499
19/09/2017,15:30,394499
19/09/2017,15:47,394499
19/09/2017,22:10,394499
20/09/2017,07:26,394499
20/09/2017,11:01,394499
20/09/2017,12:35,394499
20/09/2017,15:31,394499
20/09/2017,15:47,394499
20/09/2017,21:58,394499
21/09/2017,07:17,394499
21/09/2017,11:01,394499
21/09/2017,12:35,394499
21/09/2017,15:31,394499
21/09/2017,15:47,394499
21/09/2017,22:06,394499
22/09/2017,07:27,394499
22/09/2017,11:01,394499
22/09/2017,12:37,394499
22/09/2017,15:31,394499
22/09/2017,15:47,394499
22/09/2017,17:22,394499
25/09/2017,07:46,394499
25/09/2017,11:01,394499
25/09/2017,12:33,394499
25/09/2017,15:31,394499
25/09/2017,15:48,394499
25/09/2017,20:59,394499
26/09/2017,07:30,394499
26/09/2017,11:01,394499
26/09/2017,12:36,394499
26/09/2017,15:31,394499
26/09/2017,15:47,394499
26/09/2017,21:10,394499
01/09/2017,07:03,779314
01/09/2017,11:03,779314
01/09/2017,12:31,779314
01/09/2017,15:54,779314
01/09/2017,16:10,779314
01/09/2017,17:18,779314
04/09/2017,07:04,779314
04/09/2017,11:04,779314
04/09/2017,12:31,779314
04/09/2017,16:04,779314
04/09/2017,16:17,779314
04/09/2017,17:21,779314
05/09/2017,06:56,779314
05/09/2017,11:05,779314
05/09/2017,12:36,779314
05/09/2017,15:58,779314
05/09/2017,16:15,779314
05/09/2017,17:19,779314
06/09/2017,07:02,779314
06/09/2017,11:01,779314
06/09/2017,12:38,779314
06/09/2017,16:03,779314
06/09/2017,16:18,779314
06/09/2017,17:23,779314
08/09/2017,07:01,779314
08/09/2017,11:01,779314
08/09/2017,12:34,779314
08/09/2017,17:22,779314
11/09/2017,07:01,779314
11/09/2017,11:01,779314
11/09/2017,12:35,779314
11/09/2017,15:49,779314
11/09/2017,16:04,779314
11/09/2017,17:22,779314
12/09/2017,06:59,779314
12/09/2017,11:51,779314
12/09/2017,13:28,779314
12/09/2017,15:51,779314
12/09/2017,16:07,779314
12/09/2017,17:24,779314
13/09/2017,07:01,779314
13/09/2017,11:03,779314
13/09/2017,12:38,779314
13/09/2017,16:08,779314
13/09/2017,16:18,779314
13/09/2017,17:23,779314
14/09/2017,06:59,779314
14/09/2017,11:02,779314
14/09/2017,12:38,779314
14/09/2017,15:51,779314
14/09/2017,16:08,779314
14/09/2017,17:36,779314
15/09/2017,07:06,779314
15/09/2017,12:35,779314
15/09/2017,14:01,779314
15/09/2017,15:50,779314
15/09/2017,16:08,779314
15/09/2017,17:20,779314
18/09/2017,07:04,779314
18/09/2017,11:05,779314
18/09/2017,12:38,779314
18/09/2017,15:48,779314
18/09/2017,16:09,779314
18/09/2017,17:22,779314
19/09/2017,07:01,779314
19/09/2017,11:01,779314
19/09/2017,12:34,779314
19/09/2017,16:03,779314
19/09/2017,16:21,779314
19/09/2017,17:22,779314
20/09/2017,07:03,779314
20/09/2017,11:03,779314
20/09/2017,12:34,779314
20/09/2017,15:52,779314
20/09/2017,16:07,779314
20/09/2017,17:26,779314
01/09/2017,07:01,779325
01/09/2017,11:01,779325
01/09/2017,12:32,779325
01/09/2017,15:31,779325
01/09/2017,15:48,779325
01/09/2017,16:59,779325
04/09/2017,07:02,779325
04/09/2017,11:02,779325
04/09/2017,12:32,779325
04/09/2017,15:31,779325
04/09/2017,15:50,779325
04/09/2017,16:58,779325
05/09/2017,07:02,779325
05/09/2017,11:01,779325
05/09/2017,12:33,779325
05/09/2017,15:31,779325
05/09/2017,15:48,779325
05/09/2017,16:59,779325
06/09/2017,07:01,779325
06/09/2017,11:01,779325
06/09/2017,12:33,779325
06/09/2017,15:37,779325
06/09/2017,15:54,779325
06/09/2017,17:00,779325
08/09/2017,07:01,779325
08/09/2017,11:00,779325
08/09/2017,12:32,779325
08/09/2017,15:42,779325
08/09/2017,16:58,779325
11/09/2017,07:03,779325
11/09/2017,11:00,779325
11/09/2017,12:33,779325
11/09/2017,15:30,779325
11/09/2017,15:48,779325
11/09/2017,17:01,779325
12/09/2017,07:01,779325
12/09/2017,11:01,779325
12/09/2017,12:32,779325
12/09/2017,15:30,779325
12/09/2017,15:49,779325
12/09/2017,17:00,779325
13/09/2017,07:02,779325
13/09/2017,11:01,779325
13/09/2017,12:33,779325
13/09/2017,15:31,779325
13/09/2017,15:46,779325
13/09/2017,17:01,779325
14/09/2017,07:01,779325
14/09/2017,11:02,779325
14/09/2017,12:32,779325
14/09/2017,15:31,779325
14/09/2017,15:47,779325
14/09/2017,17:00,779325
15/09/2017,07:04,779325
15/09/2017,11:01,779325
15/09/2017,12:33,779325
15/09/2017,15:30,779325
15/09/2017,15:48,779325
15/09/2017,17:00,779325
18/09/2017,07:01,779325
18/09/2017,11:01,779325
18/09/2017,12:33,779325
18/09/2017,15:31,779325
18/09/2017,15:48,779325
18/09/2017,17:00,779325
19/09/2017,07:01,779325
19/09/2017,11:01,779325
19/09/2017,12:31,779325
19/09/2017,15:32,779325
19/09/2017,15:49,779325
19/09/2017,17:00,779325
20/09/2017,07:00,779325
20/09/2017,11:01,779325
20/09/2017,12:33,779325
20/09/2017,15:30,779325
20/09/2017,15:47,779325
20/09/2017,16:58,779325
21/09/2017,07:31,779325
21/09/2017,11:01,779325
21/09/2017,12:31,779325
21/09/2017,15:30,779325
21/09/2017,15:49,779325
21/09/2017,17:00,779325
22/09/2017,07:02,779325
22/09/2017,11:00,779325
25/09/2017,07:02,779325
25/09/2017,11:01,779325
25/09/2017,12:31,779325
25/09/2017,15:30,779325
25/09/2017,15:47,779325
25/09/2017,17:00,779325
26/09/2017,07:02,779325
26/09/2017,11:01,779325
26/09/2017,12:30,779325
26/09/2017,15:31,779325
26/09/2017,15:49,779325
26/09/2017,17:00,779325
01/09/2017,07:06,792001
01/09/2017,11:01,792001
01/09/2017,12:31,792001
01/09/2017,15:33,792001
01/09/2017,15:46,792001
01/09/2017,17:20,792001
04/09/2017,07:08,792001
04/09/2017,11:02,792001
04/09/2017,12:31,792001
04/09/2017,15:32,792001
04/09/2017,15:47,792001
04/09/2017,19:18,792001
05/09/2017,07:04,792001
05/09/2017,11:02,792001
05/09/2017,12:30,792001
05/09/2017,15:33,792001
05/09/2017,15:51,792001
05/09/2017,17:20,792001
06/09/2017,07:01,792001
06/09/2017,11:02,792001
06/09/2017,12:31,792001
06/09/2017,15:39,792001
06/09/2017,15:58,792001
06/09/2017,17:24,792001
08/09/2017,07:13,792001
08/09/2017,11:00,792001
08/09/2017,12:30,792001
08/09/2017,15:42,792001
08/09/2017,17:21,792001
11/09/2017,07:05,792001
11/09/2017,11:02,792001
11/09/2017,12:32,792001
11/09/2017,15:32,792001
11/09/2017,15:48,792001
11/09/2017,17:22,792001
12/09/2017,07:08,792001
12/09/2017,11:01,792001
12/09/2017,12:31,792001
12/09/2017,15:32,792001
12/09/2017,15:47,792001
12/09/2017,17:23,792001
13/09/2017,07:02,792001
13/09/2017,11:02,792001
13/09/2017,12:30,792001
13/09/2017,15:31,792001
13/09/2017,15:50,792001
13/09/2017,17:23,792001
14/09/2017,07:04,792001
14/09/2017,11:01,792001
14/09/2017,12:32,792001
14/09/2017,15:32,792001
14/09/2017,15:50,792001
14/09/2017,17:21,792001
15/09/2017,07:09,792001
15/09/2017,11:01,792001
15/09/2017,12:35,792001
15/09/2017,15:32,792001
15/09/2017,15:48,792001
15/09/2017,17:22,792001
18/09/2017,07:06,792001
18/09/2017,11:01,792001
18/09/2017,12:31,792001
18/09/2017,15:31,792001
18/09/2017,15:50,792001
18/09/2017,17:22,792001
19/09/2017,07:05,792001
19/09/2017,11:02,792001
19/09/2017,12:24,792001
19/09/2017,15:31,792001
19/09/2017,15:51,792001
19/09/2017,17:21,792001
20/09/2017,07:02,792001
20/09/2017,11:02,792001
20/09/2017,12:32,792001
20/09/2017,15:32,792001
20/09/2017,15:52,792001
20/09/2017,22:03,792001
21/09/2017,07:01,792001
21/09/2017,11:02,792001
21/09/2017,12:31,792001
21/09/2017,15:33,792001
21/09/2017,15:48,792001
21/09/2017,17:21,792001
22/09/2017,07:04,792001
22/09/2017,11:02,792001
22/09/2017,12:30,792001
22/09/2017,15:31,792001
22/09/2017,15:51,792001
22/09/2017,17:20,792001
25/09/2017,11:02,792001
25/09/2017,12:27,792001
25/09/2017,15:35,792001
25/09/2017,17:42,792001
25/09/2017,21:00,792001
26/09/2017,08:03,792001
26/09/2017,11:02,792001
26/09/2017,12:31,792001
26/09/2017,15:31,792001
26/09/2017,15:52,792001
26/09/2017,17:19,792001
01/09/2017,07:07,792002
01/09/2017,11:45,792002
01/09/2017,13:31,792002
01/09/2017,17:37,792002
02/09/2017,07:28,792002
02/09/2017,17:20,792002
04/09/2017,07:08,792002
04/09/2017,12:09,792002
04/09/2017,13:35,792002
04/09/2017,17:22,792002
05/09/2017,07:04,792002
05/09/2017,11:54,792002
05/09/2017,13:25,792002
05/09/2017,17:22,792002
06/09/2017,07:09,792002
06/09/2017,11:59,792002
06/09/2017,13:27,792002
06/09/2017,15:57,792002
06/09/2017,16:19,792002
06/09/2017,18:03,792002
11/09/2017,07:08,792002
11/09/2017,11:56,792002
11/09/2017,13:34,792002
11/09/2017,17:33,792002
12/09/2017,07:03,792002
12/09/2017,12:02,792002
12/09/2017,13:33,792002
12/09/2017,20:48,792002
13/09/2017,07:09,792002
13/09/2017,11:52,792002
13/09/2017,13:31,792002
13/09/2017,21:33,792002
14/09/2017,07:10,792002
14/09/2017,11:56,792002
14/09/2017,13:36,792002
14/09/2017,21:27,792002
15/09/2017,07:07,792002
15/09/2017,12:14,792002
15/09/2017,13:49,792002
15/09/2017,17:23,792002
16/09/2017,07:48,792002
16/09/2017,17:05,792002
18/09/2017,07:08,792002
18/09/2017,12:10,792002
18/09/2017,13:50,792002
18/09/2017,21:33,792002
19/09/2017,07:09,792002
19/09/2017,12:09,792002
19/09/2017,13:43,792002
19/09/2017,22:09,792002
20/09/2017,07:06,792002
20/09/2017,11:54,792002
20/09/2017,14:16,792002
20/09/2017,21:02,792002
21/09/2017,07:16,792002
21/09/2017,11:57,792002
21/09/2017,13:29,792002
21/09/2017,19:50,792002
22/09/2017,07:10,792002
22/09/2017,11:50,792002
22/09/2017,13:30,792002
22/09/2017,17:35,792002
25/09/2017,07:12,792002
25/09/2017,11:59,792002
25/09/2017,13:33,792002
25/09/2017,17:29,792002
26/09/2017,07:09,792002
26/09/2017,11:58,792002
26/09/2017,13:35,792002
26/09/2017,20:23,792002
01/09/2017,07:08,792003
01/09/2017,11:01,792003
01/09/2017,12:35,792003
01/09/2017,15:34,792003
01/09/2017,15:49,792003
01/09/2017,17:20,792003
04/09/2017,07:08,792003
04/09/2017,11:01,792003
04/09/2017,12:39,792003
04/09/2017,15:33,792003
04/09/2017,15:49,792003
04/09/2017,17:21,792003
05/09/2017,07:05,792003
05/09/2017,11:02,792003
05/09/2017,12:36,792003
05/09/2017,15:34,792003
05/09/2017,15:51,792003
05/09/2017,17:20,792003
06/09/2017,07:09,792003
06/09/2017,11:02,792003
06/09/2017,12:36,792003
06/09/2017,15:42,792003
06/09/2017,15:55,792003
06/09/2017,17:22,792003
08/09/2017,07:08,792003
08/09/2017,11:02,792003
08/09/2017,12:38,792003
08/09/2017,15:42,792003
08/09/2017,17:21,792003
11/09/2017,07:08,792003
11/09/2017,11:02,792003
11/09/2017,12:34,792003
11/09/2017,15:32,792003
11/09/2017,15:48,792003
11/09/2017,17:21,792003
12/09/2017,07:07,792003
12/09/2017,11:01,792003
12/09/2017,12:37,792003
12/09/2017,15:32,792003
12/09/2017,15:48,792003
12/09/2017,17:21,792003
13/09/2017,07:09,792003
13/09/2017,11:06,792003
13/09/2017,12:30,792003
13/09/2017,13:06,792003
14/09/2017,07:13,792003
14/09/2017,11:02,792003
14/09/2017,12:33,792003
14/09/2017,15:32,792003
14/09/2017,15:50,792003
14/09/2017,17:20,792003
18/09/2017,07:14,792003
18/09/2017,11:02,792003
18/09/2017,13:44,792003
18/09/2017,15:32,792003
18/09/2017,15:48,792003
18/09/2017,17:20,792003
19/09/2017,07:11,792003
19/09/2017,11:01,792003
19/09/2017,12:29,792003
19/09/2017,15:36,792003
19/09/2017,15:51,792003
19/09/2017,17:20,792003
20/09/2017,07:10,792003
20/09/2017,11:02,792003
20/09/2017,12:29,792003
20/09/2017,15:32,792003
20/09/2017,15:51,792003
20/09/2017,17:22,792003
21/09/2017,07:11,792003
21/09/2017,11:02,792003
21/09/2017,12:37,792003
21/09/2017,15:34,792003
21/09/2017,15:47,792003
21/09/2017,17:21,792003
22/09/2017,07:09,792003
22/09/2017,11:02,792003
22/09/2017,12:30,792003
22/09/2017,15:33,792003
22/09/2017,15:53,792003
22/09/2017,17:19,792003
25/09/2017,07:09,792003
25/09/2017,11:07,792003
25/09/2017,12:32,792003
25/09/2017,15:33,792003
25/09/2017,15:46,792003
25/09/2017,17:20,792003
26/09/2017,07:09,792003
26/09/2017,11:02,792003
26/09/2017,12:30,792003
26/09/2017,15:33,792003
26/09/2017,15:51,792003
26/09/2017,17:20,792003
01/09/2017,07:08,792006
01/09/2017,11:02,792006
01/09/2017,12:27,792006
01/09/2017,15:33,792006
01/09/2017,15:50,792006
01/09/2017,17:20,792006
04/09/2017,06:58,792006
04/09/2017,11:02,792006
04/09/2017,12:32,792006
04/09/2017,15:32,792006
04/09/2017,15:48,792006
04/09/2017,17:21,792006
05/09/2017,07:04,792006
05/09/2017,11:03,792006
05/09/2017,12:32,792006
05/09/2017,15:37,792006
05/09/2017,15:49,792006
05/09/2017,17:21,792006
06/09/2017,07:04,792006
06/09/2017,11:03,792006
06/09/2017,12:33,792006
06/09/2017,15:39,792006
06/09/2017,15:55,792006
06/09/2017,17:22,792006
08/09/2017,07:00,792006
08/09/2017,11:00,792006
08/09/2017,12:32,792006
08/09/2017,15:43,792006
08/09/2017,17:24,792006
11/09/2017,07:01,792006
11/09/2017,11:01,792006
11/09/2017,12:52,792006
11/09/2017,15:31,792006
11/09/2017,15:47,792006
11/09/2017,17:22,792006
12/09/2017,07:02,792006
12/09/2017,11:04,792006
12/09/2017,12:33,792006
12/09/2017,15:36,792006
12/09/2017,17:23,792006
13/09/2017,07:00,792006
13/09/2017,11:01,792006
13/09/2017,12:31,792006
13/09/2017,15:32,792006
13/09/2017,15:47,792006
13/09/2017,18:05,792006
14/09/2017,07:00,792006
14/09/2017,11:03,792006
14/09/2017,12:33,792006
14/09/2017,15:31,792006
14/09/2017,15:49,792006
14/09/2017,17:21,792006
15/09/2017,07:01,792006
15/09/2017,11:02,792006
15/09/2017,12:36,792006
15/09/2017,15:32,792006
15/09/2017,15:48,792006
15/09/2017,17:23,792006
18/09/2017,06:54,792006
18/09/2017,11:02,792006
18/09/2017,12:31,792006
18/09/2017,15:32,792006
18/09/2017,15:48,792006
18/09/2017,21:03,792006
19/09/2017,07:02,792006
19/09/2017,11:02,792006
19/09/2017,12:31,792006
19/09/2017,15:31,792006
19/09/2017,15:50,792006
19/09/2017,17:21,792006
20/09/2017,07:00,792006
20/09/2017,11:59,792006
20/09/2017,12:53,792006
20/09/2017,15:32,792006
20/09/2017,15:50,792006
20/09/2017,17:22,792006
21/09/2017,07:02,792006
21/09/2017,11:03,792006
21/09/2017,12:30,792006
21/09/2017,15:31,792006
21/09/2017,15:48,792006
21/09/2017,17:22,792006
22/09/2017,07:01,792006
22/09/2017,11:03,792006
22/09/2017,12:33,792006
22/09/2017,15:31,792006
22/09/2017,15:48,792006
22/09/2017,17:21,792006
25/09/2017,06:57,792006
25/09/2017,11:04,792006
25/09/2017,12:29,792006
25/09/2017,15:32,792006
25/09/2017,15:44,792006
25/09/2017,17:22,792006
26/09/2017,07:02,792006
26/09/2017,11:06,792006
26/09/2017,12:23,792006
26/09/2017,15:32,792006
26/09/2017,15:47,792006
26/09/2017,17:20,792006
01/09/2017,07:06,792016
01/09/2017,11:07,792016
01/09/2017,12:33,792016
01/09/2017,15:35,792016
01/09/2017,15:52,792016
01/09/2017,17:24,792016
04/09/2017,07:04,792016
04/09/2017,11:18,792016
04/09/2017,12:30,792016
04/09/2017,16:06,792016
04/09/2017,16:22,792016
04/09/2017,19:11,792016
05/09/2017,07:07,792016
05/09/2017,11:04,792016
05/09/2017,12:43,792016
05/09/2017,15:35,792016
05/09/2017,15:51,792016
05/09/2017,17:24,792016
06/09/2017,07:08,792016
06/09/2017,11:03,792016
06/09/2017,12:37,792016
06/09/2017,15:38,792016
06/09/2017,15:54,792016
06/09/2017,17:26,792016
08/09/2017,07:09,792016
08/09/2017,11:05,792016
08/09/2017,12:48,792016
08/09/2017,15:43,792016
08/09/2017,17:22,792016
11/09/2017,07:02,792016
11/09/2017,09:36,792016
11/09/2017,12:28,792016
11/09/2017,15:34,792016
11/09/2017,15:50,792016
11/09/2017,17:31,792016
12/09/2017,07:01,792016
12/09/2017,11:04,792016
12/09/2017,12:36,792016
12/09/2017,15:35,792016
12/09/2017,15:48,792016
12/09/2017,17:24,792016
13/09/2017,07:02,792016
13/09/2017,11:12,792016
13/09/2017,12:37,792016
13/09/2017,15:31,792016
13/09/2017,15:49,792016
13/09/2017,17:32,792016
14/09/2017,06:59,792016
14/09/2017,11:03,792016
14/09/2017,12:37,792016
14/09/2017,15:35,792016
14/09/2017,15:51,792016
14/09/2017,17:25,792016
15/09/2017,07:02,792016
15/09/2017,11:05,792016
15/09/2017,12:35,792016
15/09/2017,15:32,792016
15/09/2017,15:48,792016
15/09/2017,17:54,792016
18/09/2017,06:58,792016
18/09/2017,11:09,792016
18/09/2017,12:37,792016
18/09/2017,15:32,792016
18/09/2017,15:50,792016
18/09/2017,17:25,792016
19/09/2017,07:01,792016
19/09/2017,11:02,792016
19/09/2017,12:32,792016
19/09/2017,15:44,792016
19/09/2017,16:02,792016
19/09/2017,17:39,792016
20/09/2017,07:02,792016
20/09/2017,12:00,792016
20/09/2017,13:29,792016
20/09/2017,15:34,792016
20/09/2017,15:53,792016
20/09/2017,17:25,792016
21/09/2017,06:58,792016
21/09/2017,11:05,792016
22/09/2017,07:02,792016
22/09/2017,11:06,792016
22/09/2017,12:41,792016
22/09/2017,15:35,792016
22/09/2017,15:53,792016
22/09/2017,17:21,792016
25/09/2017,06:58,792016
25/09/2017,11:10,792016
25/09/2017,12:35,792016
25/09/2017,15:41,792016
25/09/2017,15:59,792016
25/09/2017,16:33,792016
26/09/2017,07:11,792016
26/09/2017,11:10,792016
26/09/2017,12:36,792016
26/09/2017,15:36,792016
26/09/2017,15:53,792016
26/09/2017,17:28,792016
01/09/2017,07:09,792019
01/09/2017,11:01,792019
01/09/2017,12:38,792019
01/09/2017,15:32,792019
01/09/2017,15:49,792019
01/09/2017,17:19,792019
04/09/2017,07:09,792019
04/09/2017,11:03,792019
04/09/2017,12:35,792019
04/09/2017,15:31,792019
04/09/2017,15:50,792019
04/09/2017,17:19,792019
05/09/2017,07:05,792019
05/09/2017,11:01,792019
05/09/2017,13:05,792019
05/09/2017,15:32,792019
05/09/2017,15:49,792019
05/09/2017,17:19,792019
06/09/2017,07:11,792019
06/09/2017,11:03,792019
06/09/2017,12:38,792019
06/09/2017,15:38,792019
06/09/2017,15:57,792019
06/09/2017,17:21,792019
08/09/2017,07:07,792019
08/09/2017,11:00,792019
08/09/2017,12:42,792019
08/09/2017,15:42,792019
08/09/2017,17:20,792019
11/09/2017,07:07,792019
11/09/2017,11:01,792019
11/09/2017,12:35,792019
11/09/2017,15:31,792019
11/09/2017,15:48,792019
11/09/2017,17:21,792019
12/09/2017,07:10,792019
12/09/2017,11:02,792019
12/09/2017,12:33,792019
12/09/2017,15:31,792019
12/09/2017,15:49,792019
12/09/2017,17:21,792019
13/09/2017,07:06,792019
13/09/2017,11:01,792019
13/09/2017,12:35,792019
13/09/2017,15:31,792019
13/09/2017,15:48,792019
13/09/2017,17:21,792019
14/09/2017,07:13,792019
14/09/2017,11:03,792019
14/09/2017,12:32,792019
14/09/2017,15:31,792019
14/09/2017,15:49,792019
14/09/2017,17:21,792019
15/09/2017,07:10,792019
15/09/2017,11:01,792019
15/09/2017,12:34,792019
15/09/2017,15:31,792019
15/09/2017,15:49,792019
15/09/2017,17:20,792019
18/09/2017,07:06,792019
18/09/2017,11:02,792019
18/09/2017,12:32,792019
18/09/2017,15:31,792019
18/09/2017,15:49,792019
18/09/2017,17:21,792019
19/09/2017,07:09,792019
19/09/2017,11:01,792019
19/09/2017,12:33,792019
19/09/2017,15:32,792019
19/09/2017,15:49,792019
19/09/2017,17:21,792019
20/09/2017,07:09,792019
20/09/2017,11:03,792019
20/09/2017,12:34,792019
20/09/2017,15:31,792019
20/09/2017,15:49,792019
20/09/2017,17:19,792019
21/09/2017,07:08,792019
21/09/2017,11:01,792019
21/09/2017,12:34,792019
21/09/2017,15:31,792019
21/09/2017,15:49,792019
21/09/2017,17:20,792019
22/09/2017,07:07,792019
22/09/2017,11:01,792019
22/09/2017,12:38,792019
22/09/2017,15:31,792019
22/09/2017,15:49,792019
22/09/2017,17:19,792019
25/09/2017,07:05,792019
25/09/2017,11:05,792019
25/09/2017,12:32,792019
25/09/2017,15:32,792019
25/09/2017,15:48,792019
25/09/2017,17:20,792019
26/09/2017,07:04,792019
26/09/2017,11:01,792019
26/09/2017,12:37,792019
26/09/2017,15:35,792019
26/09/2017,15:48,792019
26/09/2017,17:19,792019
01/09/2017,06:41,792022
01/09/2017,11:50,792022
01/09/2017,13:05,792022
01/09/2017,16:23,792022
02/09/2017,06:40,792022
02/09/2017,11:50,792022
04/09/2017,06:51,792022
04/09/2017,11:57,792022
04/09/2017,13:00,792022
04/09/2017,16:07,792022
05/09/2017,06:36,792022
05/09/2017,11:58,792022
05/09/2017,13:08,792022
05/09/2017,16:10,792022
06/09/2017,06:38,792022
06/09/2017,11:46,792022
06/09/2017,13:13,792022
06/09/2017,16:14,792022
07/09/2017,07:31,792022
07/09/2017,16:07,792022
08/09/2017,06:36,792022
08/09/2017,11:37,792022
08/09/2017,14:01,792022
08/09/2017,17:04,792022
11/09/2017,06:38,792022
